trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,24,52,32,4,4,0.18314850926399232,128,4.142078975844153e-05,2000,adam,1.4320652123795758e-05,584.1131219890423,27.857835700578914,514015.23012743547,674.272417436668,-11.573793858892806,13.763015135886132,26.929193,2026-01-12T22:41:34,465.0
1,24,48,256,2,3,0.43905303105711935,32,0.00037982392615115636,2000,adam,2.843700709461882e-05,497.67316345826794,22.55966095179353,359586.247092457,575.5592340618974,-6.478238426634031,5.998669473228283,23.437145,2026-01-12T22:42:01,170.0
2,24,48,256,4,3,0.48213915098458526,64,1.5066148955987494e-05,2000,adam,7.457889056588086e-05,575.9690691478839,26.147679090404228,499115.25742750365,674.2405589920959,-9.789491462190874,7.631752567703976,35.760165,2026-01-12T22:42:24,379.0
3,24,36,64,2,1,0.033054612390697,32,2.4912151395348336e-05,2000,adam,1.8267207243929327e-05,636.9250961110043,28.120390769192255,574075.7345115617,715.9942749703392,-10.467514480640476,9.036731711832326,36.363614,2026-01-12T22:43:00,583.3333333333334
4,24,42,128,8,2,0.4071806766092777,64,3.920860155831858e-05,2000,adam,4.323310038550957e-06,564.112507988525,24.219028690842446,511421.7541040245,659.9204786815035,-8.183504269568054,6.939689881689526,26.931435,2026-01-12T22:43:37,538.0
5,24,36,32,8,1,0.024156386218965053,128,0.00010033073691090501,2000,adam,0.00018180720827580549,590.2286738692125,25.689818915856147,547692.7521809514,687.5092762188884,-9.226997628775417,7.35944166760961,15.190666,2026-01-12T22:44:03,685.0
6,24,41,128,4,2,0.49016776196658607,128,0.00042690773834047326,2000,adam,8.219674074687924e-05,550.3910272107358,23.96854179589272,469405.4450171219,632.2624906345133,-7.649491739332018,6.491405927435149,10.629698,2026-01-12T22:44:19,276.3333333333333
7,24,35,64,2,2,0.20526273921132088,32,0.00013947900976111406,2000,adam,3.4447350483144804e-06,605.7511275924085,26.59529122134357,516643.35405188316,674.5965573595264,-9.05716101419246,7.323528373056615,26.24463,2026-01-12T22:44:29,257.6666666666667
8,24,40,64,4,2,0.4042258383706212,32,2.7437561702167148e-05,2000,adam,4.8238491033910304e-05,633.7847666795527,30.240938151453687,582091.3887471369,712.4927849076649,-13.849460217450515,16.574321170970578,55.880109,2026-01-12T22:44:56,642.3333333333334
9,24,44,64,8,3,0.29839632790535686,64,4.0634944387753746e-05,2000,adam,3.307655884405213e-05,605.943664107309,27.852665891858948,545507.4855636312,692.9964538325786,-11.32669874876395,11.231335217271237,27.235124,2026-01-12T22:45:51,426.6666666666667
10,24,52,128,8,3,0.23219149243086576,32,1.3835040167064106e-05,2000,adam,4.05557971327532e-06,538.1309531369742,24.725373436473173,432957.0729494216,621.6270158521965,-8.860722431024561,9.55837818861719,67.172274,2026-01-12T22:46:19,588.3333333333334
11,24,51,256,8,1,0.48680514246225354,128,1.484960068167639e-05,2000,adam,7.112315320657035e-06,620.1674034420033,28.126638144052095,520357.47087641637,700.3573149049381,-10.457573933514716,7.548297441141668,63.855706,2026-01-12T22:47:26,1847.0
12,24,42,256,8,3,0.4558483656495809,32,2.781440920364542e-05,2000,adam,4.806885149313813e-05,561.8958569337839,25.539756936505682,495289.9002607975,671.6342836767153,-9.619237137045445,8.182399202838182,26.047775,2026-01-12T22:48:30,207.0
13,24,52,64,2,2,0.535673994384706,32,7.48836205549117e-05,2000,adam,7.107445621462675e-06,583.6223230039153,25.70406180066185,499998.9574039358,661.4121774500579,-8.894315205173024,8.760286794700011,50.079019,2026-01-12T22:48:56,563.0
14,24,38,32,8,3,0.2937161196023226,64,1.1553763132322692e-05,2000,adam,5.735655895420665e-06,587.5994275085617,25.90984135036697,512910.6210127101,659.9498416480616,-8.758630764191269,8.088563477263099,83.280716,2026-01-12T22:49:46,1296.3333333333333
15,24,27,64,4,2,0.4650303315371275,32,1.5765674556873523e-05,2000,adam,1.1305113568510808e-06,629.2030650099367,28.668445656686742,579757.1209500441,720.0899872322485,-11.63447866745833,9.958101616545518,99.470908,2026-01-12T22:51:09,1031.6666666666667
16,24,47,256,2,3,0.4487566513622732,32,0.0003764535634837084,2000,adam,2.7638795442230986e-05,403.51623998312743,18.071302271630305,267142.7294342447,485.63295198845725,-4.430513705649857,5.209931358683545,27.795421,2026-01-12T22:52:49,202.0
17,24,44,256,2,3,0.4911099601697269,32,0.00042181677371558806,2000,adam,2.5529846149712897e-05,458.4142268303754,21.766134272775787,327347.3698811291,544.6841320370686,-6.7492213150520755,9.680417618163712,22.94949,2026-01-12T22:53:18,171.66666666666666
18,24,45,256,2,3,0.42653749900667864,32,0.0002749066913836732,2000,adam,2.2065932688241482e-05,457.48741379049966,20.327941512966305,354482.8631197705,551.0129362511265,-6.261810319675219,6.745672694951474,29.956939,2026-01-12T22:53:42,221.33333333333334
19,24,46,256,2,3,0.4243009038688052,32,0.00035098403004292934,2000,adam,2.149129114391017e-05,458.2733880352944,20.37252265276096,329582.10266637785,537.8910708919449,-5.435591682451943,5.175245981953496,29.033503,2026-01-12T22:54:13,206.66666666666666
20,24,46,256,2,3,0.3934602187295505,32,0.0004071564153799493,2000,adam,1.6516754039824838e-05,446.80220343046034,20.119643903848353,322915.9222950424,540.7200348347529,-5.422649285102724,4.650012099262418,24.051178,2026-01-12T22:54:43,175.66666666666666
21,24,52,32,8,1,0.6,32,0.001,2000,adam,0.001,641.6632816495363,28.024725652399326,614136.5198053364,729.0268738445488,-10.615576066238086,8.765479269640718,14.591757,2026-01-12T22:55:07,261.3333333333333
22,24,52,32,8,1,0.0,32,0.001,2000,adam,1e-06,612.1733678697501,28.216807501361842,535507.8102376289,695.0415288053209,-11.272993355576501,11.27234821252708,9.597705,2026-01-12T22:55:23,171.0
23,24,46,256,2,3,0.41450140771310756,32,0.0003421870280601539,2000,adam,1.9191147644901726e-05,434.0982239813086,19.26559641523176,298875.5413381403,511.7144015554779,-4.778746862362202,4.552800682607286,27.455022,2026-01-12T22:55:34,198.0
24,24,46,256,2,3,0.4203875016586939,32,0.0003276222821307381,2000,adam,1.5237259306056026e-05,461.5984003050933,20.51233155995496,326027.92746062804,535.4486376533108,-5.427103703026428,5.4151014030751154,28.541586,2026-01-12T22:56:03,201.33333333333334
25,24,45,256,2,3,0.368900446169995,32,0.00037141359732724,2000,adam,3.095270635059944e-05,450.853480815487,19.98142651520802,328370.3158807062,535.7718279233832,-5.690024211607116,5.871438700469916,27.462391,2026-01-12T22:56:32,198.66666666666666
26,24,46,256,2,3,0.3851071704639348,32,0.0003038606096828846,2000,adam,2.1245162751823646e-05,455.0951602927814,20.27614081017072,334661.22551609145,536.1501411344722,-5.7685154776999825,7.046343463923012,25.49708,2026-01-12T22:57:01,183.0
27,24,46,256,2,3,0.3997806475855967,32,0.00037646734237179136,2000,adam,2.3268418080759653e-05,458.1502045023404,20.724921298098078,330450.07120786194,546.6417396492823,-5.7270560849671055,5.539069425949911,23.868635,2026-01-12T22:57:27,176.0
28,24,46,256,2,3,0.4021198551478225,32,0.0003300456633970907,2000,adam,2.5532953460620812e-05,462.606764547954,20.729848898985537,331171.9483828422,540.7604557821763,-5.747015753831263,6.199231932219162,24.086739,2026-01-12T22:57:52,179.33333333333334
29,24,46,256,2,3,0.39336081968713005,32,0.00034229224674237535,2000,adam,1.8658406616881695e-05,448.8505347773734,19.958617703139048,327293.49887224624,531.4769849254328,-5.529935597572007,6.399472435387882,24.956306,2026-01-12T22:58:16,179.33333333333334
30,24,46,256,2,3,0.406913789021703,32,0.0003278300602665444,2000,adam,2.0381754272533992e-05,441.8589085244944,19.667484355536242,313059.54052732623,525.3970523346335,-5.2256758041123605,5.3495680175478,27.754973,2026-01-12T22:58:42,196.0
31,24,46,256,2,3,0.4345325223621986,32,0.00034475721108340337,2000,adam,2.708968694198863e-05,471.88201193311096,21.209782933913143,345609.8450225361,551.9093041649938,-5.986253320335472,6.255121340028106,24.485243,2026-01-12T22:59:12,178.0
32,24,46,256,2,3,0.38034667094026886,32,0.00034189626574954087,2000,adam,1.4582905990845038e-05,465.76051616083777,20.994100502355852,336396.2698843108,546.8219690688895,-5.8580686463451235,5.897384082930971,24.954604,2026-01-12T22:59:38,175.66666666666666
33,24,46,256,2,3,0.40418429109067744,32,0.0003214303839115272,2000,adam,2.0471026228015803e-05,465.3944581121679,20.877663216908164,325835.31182045565,539.1123213715964,-5.556931960700678,5.336655685425912,24.221301,2026-01-12T23:00:03,181.33333333333334
34,24,46,256,2,3,0.4046960069562397,32,0.0003644757088586709,2000,adam,1.8963114375854224e-05,457.609829746481,20.592873040543676,326432.49248430337,542.1342237391195,-5.510704633544516,5.04493476047874,24.576706,2026-01-12T23:00:28,176.0
35,24,29,32,8,2,0.0,128,1e-05,2000,adam,6.663530687244581e-06,636.4207943249925,28.477170917454586,577132.6960999186,716.6440250595833,-10.307671246306269,7.183999150569226,55.562448,2026-01-12T23:00:54,1744.6666666666667
36,24,26,32,8,1,0.6,32,1e-05,2000,adam,0.001,670.3046451731842,28.99874897736163,633875.916443125,734.826831586914,-10.597090317365792,9.627975397765248,129.890549,2026-01-12T23:01:51,2000.0
37,24,45,256,2,3,0.4032408030607818,32,0.000374518047064865,2000,adam,2.0478088903393527e-05,428.33702803410216,19.071946728318824,326922.51450001186,530.5859078910436,-5.533513541522017,5.620617629354233,27.13229,2026-01-12T23:04:02,200.66666666666666
38,24,45,256,2,3,0.3913096953635718,32,0.00040499678162385914,2000,adam,1.886843908420225e-05,423.9319661081806,18.884866927344206,320799.6598031621,520.0415153445757,-5.460506142213681,5.783925445692401,29.3035,2026-01-12T23:04:30,214.33333333333334
39,24,44,256,2,3,0.38638963503167784,32,0.00045306720221857335,2000,adam,1.9087282224603868e-05,442.22744330606565,20.451956304049133,313091.22307544015,536.3158758563565,-5.591420906242636,5.459443568382716,24.239407,2026-01-12T23:05:00,177.66666666666666
40,24,45,256,2,3,0.3935369173765287,32,0.0004209201155495328,2000,adam,1.8045502745035656e-05,439.19156724833056,19.569886492761743,296796.15503513115,511.09376650659414,-5.036100145972981,5.745442498290631,25.608717,2026-01-12T23:05:25,184.66666666666666
41,24,45,256,2,3,0.39615163682201127,32,0.00046286414334258065,2000,adam,1.783453675947151e-05,423.11237635531506,18.953288498552826,278182.2450352579,490.9222284358677,-4.723973827329922,5.690663688522753,27.648819,2026-01-12T23:05:51,192.66666666666666
42,24,45,256,2,3,0.39729553203812257,32,0.0005164435888741055,2000,adam,1.9027720228705163e-05,387.48803169343154,17.084653696457675,241622.80027433936,456.1943549464284,-3.7660839350584356,4.371411326087332,27.431918,2026-01-12T23:06:20,200.0
43,24,45,256,2,3,0.4014233706831288,32,0.0007656313652938106,2000,adam,1.928098871004888e-05,410.6832223407669,18.218928730866054,267074.24859338347,490.1289884959975,-3.7682000190160636,1.6439120858012586,27.59722,2026-01-12T23:06:48,200.66666666666666
44,24,45,256,2,3,0.4087544190941317,32,0.0007408275678273757,2000,adam,1.8119500779682e-05,398.63381012554424,18.148446336006565,263140.9406064297,490.7573499668802,-4.0873561700924625,2.9689696783365442,30.688992,2026-01-12T23:07:17,227.66666666666666
45,24,45,256,2,3,0.41391875200472306,32,0.0007913170055757619,2000,adam,2.1488415185629503e-05,403.664049062909,18.33029433601079,267960.412257238,497.84756498414873,-4.115144323824638,2.2617232866038703,30.636014,2026-01-12T23:07:50,228.0
46,24,45,256,2,3,0.38395923449795427,32,0.0007511691089300503,2000,adam,1.2006420949021967e-05,364.78296679257795,15.87586163772088,239368.50362981108,455.23068768677905,-3.0948097479218597,2.186784065487233,30.398526,2026-01-12T23:08:27,221.66666666666666
47,24,45,256,2,3,0.3601214425684523,32,0.0009261634268114658,2000,adam,7.102324396163291e-06,407.84752282002137,17.98330944802122,289850.1404947254,505.6871621606942,-3.965695626204299,1.7460363855139431,36.434373,2026-01-12T23:08:59,261.6666666666667
48,24,45,256,2,3,0.3815938407063078,32,0.000796205448879266,2000,adam,1.0455918068276605e-05,407.2377600936623,18.15134948100304,273912.2528853861,500.3843000529325,-3.96795921892715,0.6905774350199511,35.352808,2026-01-12T23:09:41,252.66666666666666
49,24,47,256,2,3,0.49413080541648197,32,0.0009838252188037846,2000,adam,1.3035027570934e-05,474.0180422535055,21.9089673516656,351433.3142368859,580.7755905193262,-6.171266848833581,2.260696313205628,25.823167,2026-01-12T23:10:19,195.33333333333334
50,24,45,256,2,3,0.36988608967919534,32,0.0007286283893991886,2000,adam,1.0646582467037792e-05,374.1210167964179,16.389709054134116,246176.76892543584,463.45557484685077,-3.3809115534299443,1.8520793128795174,30.270338,2026-01-12T23:10:51,214.33333333333334
51,24,45,256,2,3,0.34774764207782793,32,0.0007108360934858366,2000,adam,1.0868494769787237e-05,378.34439308042874,16.73846228682309,247262.02042208158,467.240060109498,-3.4189432414020846,1.5597650580073237,29.88318,2026-01-12T23:11:29,213.33333333333334
