trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at,effective_epochs
0,12,41,32,1024,4,8,1535,4.263158614096323e-05,114.44449687143009,9.179400755913946,21094.678411637695,145.24007164566427,-0.25159906942219235,691.030443,2025-11-23T13:36:26,1508
1,16,37,32,256,32,5,1074,1.689823630995037e-05,79.49320376079699,6.1167254255326835,8759.509698880034,93.59225234430484,0.34758931269429394,104.33196,2025-11-23T13:47:57,1074
2,24,37,64,256,32,7,1635,8.687741856939989e-05,118.16191986124402,9.724078055605982,22086.821556290884,148.61635696076956,-0.5061805865036106,129.529162,2025-11-23T13:49:41,1328
3,24,26,16,256,32,10,1216,0.0039534050740429524,301.42851849888706,25.255190775354798,96676.35780885858,310.9282197049,-5.592711990472234,95.725962,2025-11-23T13:51:51,300
4,24,27,64,512,4,10,1486,0.0003446241577081421,376.0367389171813,31.548834364797457,149917.85449743413,387.1922707098298,-9.22344303542371,31.321391,2025-11-23T13:53:26,205
5,24,31,64,1024,16,3,1847,1.2031257160439563e-05,96.51360913127674,7.679639290128428,15985.831380706368,126.43508761695216,-0.09013190618558009,208.817483,2025-11-23T13:53:58,1847
6,16,27,16,512,32,3,1924,9.004758996409246e-05,193.68415635041043,14.789638433784388,42770.905255902726,206.81127932466046,-2.185588766259199,50.602078,2025-11-23T13:57:27,435
7,24,44,64,512,4,8,1544,1.952586154114354e-05,99.06182854284714,7.703693618579602,17698.398884449733,133.03532945969553,-0.2069181047176416,270.273095,2025-11-23T13:58:17,1544
8,16,47,16,256,4,2,1213,8.953997585487645e-05,267.17525284699246,20.672222521065674,79717.83768218814,282.34347465841694,-4.937406437190288,23.009334,2025-11-23T14:02:48,301
9,12,26,16,512,4,9,1339,0.00017149497511336382,118.14715425464368,8.759510531088237,20168.83062234752,142.01700821502865,-0.19666624660831689,463.960762,2025-11-23T14:03:11,1339
10,24,40,32,256,8,10,1517,0.0027509369944181987,854.642121793076,71.1054365857961,745077.2747489797,863.1785879810618,-49.80952566270421,123.455708,2025-11-23T14:10:55,771
11,24,24,16,1024,32,7,1603,0.004663577782469863,284.51438479120475,23.828383894365963,86448.46526822037,294.021198671491,-4.895234847991921,139.281366,2025-11-23T14:12:58,382
12,12,43,64,256,4,3,1822,0.00794807905103892,296.8062586446482,23.57279524556875,104947.96752748026,323.9567371231539,-5.226820619492303,8.731855,2025-11-23T14:15:17,208
13,16,38,64,1024,16,3,1975,2.777310546716211e-05,120.12442886318466,9.588131713374965,19170.462254700615,138.45743842315088,-0.4278212920018154,241.434824,2025-11-23T14:15:26,1800
14,16,43,32,256,16,5,1014,0.0020314988589660962,283.28336259949026,22.777033278371295,93452.64902745353,305.7002601036733,-5.960378957093371,59.887685,2025-11-23T14:19:27,667
15,16,40,32,1024,32,4,1630,0.0007759007537097552,232.02263567077932,18.68535779502409,63757.32859408285,252.5021358208339,-3.748663338332701,263.185321,2025-11-23T14:20:27,1240
16,16,38,64,512,16,5,1544,1.6919048134758435e-05,140.193817543705,10.605741740790744,28758.712705788006,169.5839399996002,-1.14195681806362,158.417758,2025-11-23T14:24:51,1493
17,24,39,64,512,8,6,1758,1.53583021305926e-05,138.57675716738012,10.712230033311599,32587.975383412446,180.52139868561966,-1.2222924086590994,215.70172,2025-11-23T14:27:30,1758
