trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,8,27,128,2,1,0.13488731682300567,32,0.00010906817102563633,2000,adam,0.0002585735311955138,182.83705110509482,15.218051384439784,58518.53353664508,239.7765004126917,-9.092292392377239,5.838318661407566,20.588939,2026-01-11T15:37:54,207.66666666666666
1,8,48,256,8,2,0.5454981051385402,32,4.211047336965254e-05,2000,adam,1.0649848108961002e-06,150.64436401072768,12.580917061259933,38258.382630132626,182.43342937413607,-6.194827266435481,6.401051441181661,23.567706,2026-01-11T15:38:15,155.66666666666666
2,8,40,128,8,2,0.3116431502625346,64,0.00016487127196064064,2000,adam,0.00038327431753210853,166.30995229274933,13.517371455012253,42616.42283494081,203.57997034932706,-6.5181331381665935,3.9710548378431763,14.998138,2026-01-11T15:38:38,179.66666666666666
3,8,36,128,8,4,0.3474163362756371,32,0.00025862406752458634,2000,adam,1.2457207956233025e-06,111.11345538492947,9.020601608986476,18482.517472338834,135.10151323258455,-2.0959781225456595,1.3284557672004547,49.518589,2026-01-11T15:38:53,208.33333333333334
4,8,36,32,4,1,0.38775535114109516,64,0.0002694682062219992,2000,adam,8.072737944991414e-06,155.77804915785225,13.103519442457376,36769.41988457609,178.88408717611856,-5.989820938286992,6.498731956671993,10.779848,2026-01-11T15:39:43,221.0
5,8,36,64,8,4,0.42993993815034626,64,0.000432003081755083,2000,adam,1.0823915847542665e-05,96.19467220809058,7.884612202077405,15690.041923760387,125.243941669005,-1.5532767012834106,0.9240979015517182,23.768508,2026-01-11T15:39:54,184.66666666666666
6,8,42,256,2,1,0.11581074837595223,32,4.773883126817714e-05,2000,adam,1.2937915565494346e-06,223.18545817902051,18.382664923122416,84215.27242379279,270.6386226009486,-15.022881556698392,8.615921474930328,15.016714,2026-01-11T15:40:18,154.66666666666666
7,8,50,256,2,1,0.18766381926834583,64,0.00022088525877887673,2000,adam,7.704599406942183e-06,197.3660308001056,15.910484670780598,51312.838204633146,222.91727176723543,-8.040660253901539,4.108155239179511,9.083599,2026-01-11T15:40:33,139.33333333333334
8,8,31,128,2,1,0.26298264507204294,128,3.801163625781654e-05,2000,adam,1.127954877851868e-06,186.43079554606027,15.262790583593786,54026.39206402723,229.94225541236702,-8.451184093119544,5.917296010604896,13.030597,2026-01-11T15:40:42,417.0
9,8,49,128,8,2,0.25189239978790284,64,0.00018986575510061832,2000,adam,1.9449661389342626e-05,125.30862120851539,10.217270309057218,26618.85921213287,161.20109849403457,-3.673735718445711,3.728122871509227,15.055774,2026-01-11T15:40:55,171.0
10,8,30,32,4,3,0.20630405992269515,128,1.104678135656681e-05,2000,adam,2.7336335384240665e-06,183.41895885687924,14.88625006381561,51767.627007874566,223.40060591332295,-7.028233191593745,3.1673625258685627,24.86255,2026-01-11T15:41:10,441.6666666666667
11,8,52,32,8,4,0.11671275459229946,32,0.0002209390873910446,2000,adam,0.0002771875573871537,167.56093918006624,13.406557409460603,43198.554632757354,192.55169284479678,-5.557158275997479,6.150906377171854,24.698973,2026-01-11T15:41:35,113.33333333333333
12,8,48,128,8,1,0.17807906102389096,32,0.00022275992477195845,2000,adam,0.0002156811840892806,163.13107447923957,12.968449292758452,36221.3558220348,183.70333738882437,-5.1099413480638765,4.505463506681259,11.952983,2026-01-11T15:41:59,134.33333333333334
13,8,42,64,4,2,0.5747902913019061,64,0.0005512836554457708,2000,adam,1.4547913610890244e-06,118.12495435198741,9.689112665639223,20947.78016257928,144.35530243728442,-2.5250412488056746,2.3886902973786492,13.89959,2026-01-11T15:42:11,176.33333333333334
14,8,52,64,4,2,0.2879499552771449,128,0.00046519087829784226,2000,adam,0.00029411113986351666,138.10338458414822,11.11697890361939,31127.710679889937,173.84289513284844,-4.310720569044171,3.743575243332021,16.288923,2026-01-11T15:42:25,315.0
15,8,46,64,8,3,0.4684341374784708,128,1.2381351749286115e-05,2000,adam,0.00026097154784639475,107.28503675855904,8.815247777803123,17130.272826128978,128.4818375714661,-2.046819074778858,2.6018980563714043,24.435187,2026-01-11T15:42:41,339.3333333333333
16,8,40,64,8,4,0.4359213492379866,64,0.00036290457547054225,2000,adam,3.8103694696675273e-06,144.11249459449775,11.68745638526621,33058.14459384163,171.1697500952183,-4.13598195148997,4.976989144345018,17.891181,2026-01-11T15:43:06,143.66666666666666
17,8,32,128,8,4,0.40351916158916595,32,0.0004376682876663957,2000,adam,9.462904905868235e-06,135.63382219655114,11.048359552039022,26962.046666852762,164.0661637128489,-3.4702415158515403,1.7386663861584446,34.385014,2026-01-11T15:43:25,142.0
