trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,8,46,64,2,4,0.13612952828407288,64,3.391425920894071e-05,2000,adam,7.966790253253521e-06,248.6287463401048,14.279502521585277,103269.72510767468,307.33674730044225,-0.7970857003769819,3.719187148895019,20.131584,2026-01-11T19:06:09,152.33333333333334
1,8,52,128,8,1,0.2315214766189456,128,0.0006194960894167324,2000,adam,0.00015803790498488044,331.50634681372117,20.259945820715277,170715.53830697728,406.8760331604812,-2.8323396265712724,3.33433593097399,5.288885,2026-01-11T19:06:29,132.0
2,8,44,64,8,3,0.12458992525935172,32,2.0027079440216388e-05,2000,adam,0.0007582384722972518,273.7726455945922,15.47712897152279,136533.1337368513,345.42707300098635,-1.0581815085625745,3.212522967692579,42.973907,2026-01-11T19:06:35,246.66666666666666
3,8,51,256,2,3,0.12217271290719509,64,0.0003178475339256687,2000,adam,6.719262682803081e-05,270.8254142313377,15.776525616390513,138864.92408212868,349.1806633170402,-1.444148364632845,2.7458515081326036,25.030598,2026-01-11T19:07:18,157.66666666666666
4,8,33,64,8,2,0.25112038683146237,128,7.692242087916665e-05,2000,adam,2.160227500203489e-06,234.05230779134743,13.606333822332308,95378.33748649598,297.8085540734341,-0.7667995089814558,1.2807949925186248,13.218126,2026-01-11T19:07:43,275.6666666666667
5,8,40,32,8,4,0.25067336931824685,128,5.290414453045477e-05,2000,adam,7.834965700100635e-06,244.04063587413543,14.107711650831407,102056.76897736957,302.73360443818547,-0.691753922675514,0.9989533137152016,15.437046,2026-01-11T19:07:56,195.0
6,8,43,64,2,1,0.33146213516592976,64,9.811438349841086e-05,2000,adam,0.00011544429770866394,271.39373729014534,16.170223166898708,126667.43506355291,346.515144382799,-1.4553291486952755,1.63457980790439,10.408305,2026-01-11T19:08:11,180.33333333333334
7,8,39,256,2,4,0.10150233842432499,128,7.277391430836252e-05,2000,adam,9.62450996289591e-06,266.96819716522754,15.460141025410586,116333.14775797825,329.6373602292317,-1.0199406363683552,1.0843196826382708,21.18728,2026-01-11T19:08:22,144.66666666666666
8,8,42,64,8,4,0.586253653652966,64,0.0005369628597173939,2000,adam,0.0002982666266977708,259.55826090045866,15.111376643782586,105129.37211671442,320.2504694445185,-1.0682009720943546,1.989903854811262,23.209649,2026-01-11T19:08:43,180.0
9,8,29,256,2,3,0.581118592992425,128,2.1276623480478747e-05,2000,adam,4.4465030338252095e-05,279.69411147761843,16.002112520682058,142297.06232436895,362.4301805086939,-1.4177273966709596,4.133651898600915,41.741939,2026-01-11T19:09:06,442.3333333333333
10,8,43,256,4,3,0.254438678920269,128,1.0712915955352008e-05,2000,adam,1.5241070705603832e-06,229.7575494136297,13.292619960826334,88897.16029617375,285.4405456174106,-0.5532592529538879,0.2752886457946878,50.984991,2026-01-11T19:09:48,418.0
11,8,26,128,2,4,0.37738734371960164,128,0.0002748657998587654,2000,adam,0.0007973806632533179,239.16255775425694,13.568647176909067,103007.45518742494,305.0133735087326,-0.6983777876638658,3.0083726494870184,16.178203,2026-01-11T19:10:39,206.66666666666666
12,8,51,32,4,4,0.17015745397657156,64,0.00025496456272984985,2000,adam,2.4519020393341296e-06,276.51289057078503,16.075420718144667,134622.57069470012,354.3475842972369,-1.6904860100549566,2.973300635935783,18.029495,2026-01-11T19:10:55,131.66666666666666
13,8,36,128,2,4,0.08712054714560509,32,8.494220054773e-05,2000,adam,0.0006162978302139869,233.41469532353713,13.320282644104116,102159.24588506234,306.9076066375637,-1.0098402539003801,2.9445126983344667,43.417404,2026-01-11T19:11:13,167.33333333333334
14,8,50,128,8,1,0.09204682856798171,64,1.0055714702036883e-05,2000,adam,0.0002671329554807111,280.4004686670451,16.482726331618466,134871.2886567479,357.0763049039544,-1.7737858574679677,2.2386813703276043,29.193094,2026-01-11T19:11:57,535.6666666666666
15,8,43,32,4,1,0.15444867499172688,128,8.045318429512262e-05,2000,adam,2.4716405957334567e-05,273.154169846143,16.471634772996197,123713.4019455288,349.53991146300245,-1.5962071571887642,2.4239314715536127,9.338173,2026-01-11T19:12:26,295.0
16,8,39,128,8,3,0.255384757949338,128,2.0608547949490174e-05,2000,adam,1.5596141749795085e-06,231.55321447681786,13.303627054093617,103782.57761810611,305.5896373125003,-0.652935372628276,2.0774770646526584,25.055033,2026-01-11T19:12:36,316.3333333333333
17,8,39,128,4,3,0.25540989908892126,128,1.6486959599362276e-05,2000,adam,1.4348744626512454e-06,235.57516177282355,13.646680463809036,100661.09595387448,305.22144843465964,-0.735315429275944,1.269506463577277,23.928606,2026-01-11T19:13:01,318.0
18,8,31,128,2,4,0.19842393164983482,64,0.00013087974265257803,2000,adam,0.0007175727767806704,298.88823569797495,17.535654568087807,142173.74025663474,363.53844925414893,-1.6791477357617495,2.1799287119732442,23.335625,2026-01-11T19:13:25,172.66666666666666
19,8,34,64,8,3,0.28711318983906386,128,4.840577112433111e-05,2000,adam,1.990260626462941e-06,265.70477462149734,15.006853247504168,131287.89905701907,334.67160951623504,-0.927974624625845,3.030647892347501,16.147527,2026-01-11T19:13:49,253.33333333333334
20,8,41,256,8,2,0.21617993348422582,128,1.6532218729474562e-05,2000,adam,1.3311832255249017e-06,309.10607343864785,17.968282252132312,158659.07742061702,370.2203084706123,-1.3384116632942036,5.204567167373132,22.793063,2026-01-11T19:14:07,280.6666666666667
21,8,42,128,8,3,0.2558063824665655,128,1.4173740842318512e-05,2000,adam,1.8686659041125658e-06,245.4065044564974,14.236066667930148,107747.57273768434,316.77559363674015,-0.872646323504736,0.848899081652903,24.136023,2026-01-11T19:14:30,290.6666666666667
22,8,40,256,4,3,0.2583149237978439,128,1.8315915617274166e-05,2000,adam,1.3199242111934957e-06,261.3568334009646,15.461015837705903,105179.17755223053,318.7583419458656,-0.978354935787654,2.3676117179278333,36.845274,2026-01-11T19:14:55,327.6666666666667
