trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at,effective_epochs
0,12,32,32,512,16,1,2000,0.0003647141313217281,92.64909340841741,7.40853960961866,11709.996046597045,108.21273514054178,-0.39420807821664994,39.823418,2025-11-23T19:56:33,1206
1,24,44,32,1024,4,4,2000,4.2128622108734983e-05,211.01545388128224,19.703889232565217,51409.91023114364,226.73753599954208,-6.9434880622847635,308.829001,2025-11-23T19:57:13,1320
2,24,33,16,512,8,5,2000,0.0025244949774566178,324.01081178355895,30.292898109956308,111454.9627827811,333.8487124174378,-16.22121595557821,76.180196,2025-11-23T20:02:22,408
3,12,38,32,512,32,2,2000,0.00040984807267343496,95.61554611656663,7.283588624240249,12655.631325178341,112.4972503005222,-0.5067967024312439,78.779532,2025-11-23T20:03:38,1273
4,24,35,32,1024,16,6,2000,0.00793783778002077,344.27179811168395,32.155432667271135,124995.02760519231,353.5463584951658,-18.313328989734593,103.638463,2025-11-23T20:04:57,345
5,16,29,16,1024,4,8,2000,0.00026861733060081974,118.29874229989903,9.292323086265872,22354.99475340636,149.5158678983818,-0.23927676290405686,509.171991,2025-11-23T20:06:41,1037
6,24,26,16,256,8,2,2000,0.004825990631641527,1161.1198002275694,107.2459330211254,1354671.0915991105,1163.9033858525847,-208.31399405402973,28.749101,2025-11-23T20:15:10,365
7,24,42,16,512,4,8,2000,0.0026901287229423596,334.18488404918395,31.22817149084993,118151.49335710674,343.73171712413557,-17.25591549962947,117.29872,2025-11-23T20:15:38,387
8,16,41,32,512,4,2,2000,0.0001452557260720625,106.0490159655665,8.843559370101785,14737.760840557748,121.39917973593458,0.1829940132659812,65.411092,2025-11-23T20:17:36,1058
9,16,29,32,512,16,5,2000,8.595764844387579e-05,103.69111343871103,8.991560064504572,15089.414361768982,122.83897737187893,0.16349966570573105,171.766128,2025-11-23T20:18:41,1394
10,16,44,32,256,32,4,2000,0.003201875579792013,308.19329619585517,27.53239656176109,113020.96784815643,336.18591262597016,-5.265457036343271,16.661311,2025-11-23T20:21:33,203
11,12,25,16,1024,16,2,2000,0.002798924428690565,111.18355127298646,9.157268154200336,19393.533237481857,139.26066651241425,-1.3090204810716224,53.915758,2025-11-23T20:21:50,408
12,16,28,64,512,16,1,2000,0.00030235171054793095,110.12823249522359,9.90872205831191,20576.187992232804,143.44402389863723,-0.14066641165433835,21.447021,2025-11-23T20:22:44,1019
13,12,31,32,1024,16,8,2000,0.00013590639108988065,249.39720592422142,19.05784114359282,68888.08069720189,262.4653895225081,-7.201908712752305,218.119447,2025-11-23T20:23:05,533
14,16,35,32,512,16,2,2000,0.00018080837784974544,97.51872726927743,8.17897037705166,12679.312955306203,112.6024553697929,0.29710661584006715,57.252819,2025-11-23T20:26:44,1004
15,16,33,32,512,8,3,2000,0.00023480708873961021,96.15669836548213,7.945376260881587,13169.68816952218,114.75926180279386,0.26992205978064965,31.892395,2025-11-23T20:27:41,397
16,12,34,32,512,8,3,2000,0.0002276098076654541,74.5175126840865,6.1304804852868955,11156.933162006455,105.62638478148561,-0.3283596579106429,30.565456,2025-11-23T20:28:14,377
17,12,33,32,1024,8,3,2000,0.0002507686005402685,163.06385154847965,12.446994008698965,31824.767552956375,178.39497625481602,-2.7891001699008298,211.779747,2025-11-23T20:28:45,1307
18,12,36,64,512,16,2,2000,0.00015602724142092065,84.61278614237501,6.887821880436305,13308.484713228585,115.36240597884817,-0.5845263159929213,45.297528,2025-11-23T20:32:17,958
19,12,35,32,512,8,3,2000,0.00017281620671778463,174.57897332910014,13.34114074978865,36662.23449833276,191.47384807939898,-3.3650555730036107,58.049057,2025-11-23T20:33:03,714
20,12,33,64,512,16,3,2000,0.0004308948436605795,123.0292296767564,9.635610017781264,20498.65773795563,143.17352317364978,-1.4405981092676137,116.642321,2025-11-23T20:34:02,1773
21,12,36,64,512,16,1,2000,0.00023483449445332516,110.01222806355929,9.079545478998732,21964.94233871524,148.20574327169388,-1.6151759509004298,27.240585,2025-11-23T20:35:59,1087
22,12,31,32,512,16,2,2000,0.00021932231977468558,268.0609429033881,20.3554875364653,83882.76729183631,289.62521867378246,-8.98719652133713,21.226234,2025-11-23T20:36:27,382
23,12,39,32,512,8,2,2000,0.00040346407272778216,102.39710051295303,8.481855503020556,20446.9679520214,142.99289476061878,-1.434443852953263,23.388464,2025-11-23T20:36:49,404
24,16,39,64,512,8,2,2000,0.00021908678652574526,137.1760153198575,10.917145035745117,27102.59489222469,164.62865756673318,-0.5024658442032646,53.52876,2025-11-23T20:37:13,1148
25,12,37,32,512,16,1,2000,0.0004676241055044575,76.31761147482366,6.141280976929908,9301.16764186332,96.44256136096406,-0.10740968754653113,33.214559,2025-11-23T20:38:07,994
26,12,38,32,512,16,1,2000,0.0004207906376614087,210.0038343421902,15.929363805102456,52200.24193106643,228.47372262705932,-5.215031900570606,10.52046,2025-11-23T20:38:41,324
