trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,24,31,64,2,1,0.3182685613632202,32,0.00014002952356260067,2000,adam,2.025114819217879e-05,444.13960359238627,23.658314734228654,272394.96584258677,516.3019865906582,-9.3403962314815,6.347780316835588,30.896078,2026-01-13T02:17:34,499.3333333333333
1,24,49,128,4,1,0.3294462634250522,128,0.0002083686924099132,2000,adam,0.0007117669750327651,489.3964512773436,25.903618420061832,327016.04945197795,558.0722945495555,-12.257510600197506,8.672833992487787,21.054272,2026-01-13T02:18:05,883.3333333333334
2,24,40,64,8,2,0.10885451082140207,32,2.4105914811030795e-05,2000,adam,0.00026723630041153773,520.0737014857785,30.15427883214819,372384.6859865806,573.2542706169978,-11.27740439833228,18.861125909179368,53.662032,2026-01-13T02:18:26,614.0
3,24,51,32,2,1,0.00715755745768547,32,4.589298126872027e-05,2000,adam,0.00011434751320876899,542.8368147684142,29.166336675961606,407700.04075093893,630.9014077475483,-14.219997123157698,9.429811191223521,48.770012,2026-01-13T02:19:20,908.0
4,24,41,256,8,3,0.03981384169310331,128,4.47642332188832e-05,2000,adam,1.255887026614375e-06,439.1523448555913,24.565508822749067,271958.35112941125,508.0615827762994,-8.761809049026406,11.546007482705724,37.673323,2026-01-13T02:20:09,489.0
5,24,33,64,2,4,0.1570071794092655,64,3.84338079934325e-05,2000,adam,7.587425888798395e-05,523.1193500995868,31.047645505763246,410008.8167773557,606.1673908789044,-11.457321196767042,19.051259566368127,60.584558,2026-01-13T02:20:47,680.0
6,24,26,256,8,4,0.40196305252611636,32,0.00034874204258025283,2000,adam,2.879140070595919e-05,386.2807012564463,20.638623432808618,212263.47625477877,450.1599453986831,-7.783084005346384,3.7463086533100913,48.672255,2026-01-13T02:21:47,283.0
7,24,45,64,8,3,0.2655057270079851,32,0.0006367719617523252,2000,adam,2.5154480804432485e-05,433.7266007096071,24.737124367843588,259402.63575310275,505.24599632468033,-7.16805724908276,9.635846629626869,24.704065,2026-01-13T02:22:36,202.66666666666666
8,24,45,256,2,2,0.36127630826085805,64,0.0007916357867223885,2000,adam,1.8184771275481443e-05,421.1401276133597,23.820908374010866,239273.9470969004,478.2305438419691,-7.444632883750167,10.863746536425575,11.195269,2026-01-13T02:23:01,165.66666666666666
9,24,40,256,2,4,0.48039449136704204,32,0.0002742094616331562,2000,adam,1.1300508532580678e-06,325.8908264302898,17.864133714670714,143012.92198405843,377.52023915360877,-3.794652151390468,4.7932910188720514,53.860238,2026-01-13T02:23:12,331.6666666666667
10,24,29,32,2,2,0.5776826698333025,32,1.3931785684766839e-05,2000,adam,8.748739753512739e-05,486.2903899887944,26.310950376282534,336642.96405476454,562.8767941462426,-12.80448570674808,8.290971927593962,145.142677,2026-01-13T02:24:06,1540.6666666666667
11,24,43,32,8,3,0.473703321442008,32,0.00013523919843407912,2000,adam,0.0002581180939186962,462.70527334978243,25.140722303305267,327726.0560199783,556.4485968378555,-12.113532707332716,8.103849959602119,48.237413,2026-01-13T02:26:31,428.6666666666667
12,24,27,128,8,4,0.5230784391984343,32,1.5615772470337386e-05,2000,adam,8.580111590451429e-06,439.805092695896,23.89100308160913,272631.24822021247,515.1276286774172,-9.251348021287876,6.562579294215858,131.155596,2026-01-13T02:27:19,832.3333333333334
13,24,27,64,4,1,0.3301828170195222,128,0.00010992709676327153,2000,adam,3.72609215786582e-05,464.57153054660574,24.93841150222921,314150.7410812524,551.7297561784218,-11.092446976897596,8.826291336488572,27.677533,2026-01-13T02:29:30,1336.0
14,24,31,64,4,3,0.23490801639854908,32,0.00026572630251504284,2000,adam,8.58662054862736e-05,473.20384970508275,26.290946652329108,306030.30205913837,544.7164970505706,-10.338466389683122,8.89160306304348,20.165518,2026-01-13T02:29:58,157.33333333333334
15,24,37,64,2,1,0.4875041339546442,32,0.00018282904535907025,2000,adam,2.181609948156655e-06,444.66585101349557,25.024184394359,287691.9253384429,520.1139003217064,-8.946393923666585,12.751306919906249,29.426842,2026-01-13T02:30:18,528.0
16,24,37,256,2,4,0.47039857973853716,32,0.00030285602250520885,2000,adam,2.170923355739996e-06,303.13267729068156,16.099431612366114,132684.6467167522,357.25226212217586,-4.384596150763968,2.851177984024397,42.565095,2026-01-13T02:30:48,272.0
17,24,35,256,2,4,0.4659665053562335,32,0.0003242247066225466,2000,adam,3.299795790803926e-06,343.14846771183466,18.983391002338436,159797.32105227702,397.6923594169236,-4.619053239551665,5.573254285969022,43.260794,2026-01-13T02:31:31,252.0
18,24,38,256,4,4,0.4650087760160794,32,0.0002928570088124953,2000,adam,1.926359038623408e-06,332.31327124803755,17.677453308583498,155943.1079236622,389.26895458256143,-5.011295794873775,1.9897013315025889,42.01572,2026-01-13T02:32:15,261.3333333333333
19,24,38,256,2,4,0.44237150611542814,32,0.0002481952437111629,2000,adam,1.6939264798211946e-06,338.6061367338871,17.882486601851173,166288.27897602096,398.24829512375544,-5.866672517831632,2.468629330523534,50.279093,2026-01-13T02:32:58,312.6666666666667
20,24,38,256,2,4,0.49877885449713966,32,0.0003158473541427492,2000,adam,2.026263318988527e-06,327.39843100543845,17.43708719933889,148806.84451652612,380.24179137359306,-4.835190603908346,2.823688768548513,46.916871,2026-01-13T02:33:49,289.6666666666667
21,24,37,256,2,4,0.4644540813878759,32,0.00045214891032126144,2000,adam,1.2089075767657997e-06,330.70113565504516,17.726062808478904,157554.78684349355,392.0620949312968,-4.9686491392242305,2.209885364737473,43.191849,2026-01-13T02:34:37,283.0
22,24,38,256,2,4,0.49184414467592324,32,0.0002967689361495794,2000,adam,1.6978564582805446e-06,329.7445135160846,17.347695801930527,157870.91060684618,386.8573482226927,-5.616494219375466,2.4635234411193814,50.167496,2026-01-13T02:35:22,318.6666666666667
23,24,37,256,2,4,0.5035581992302283,32,0.0003012240491257315,2000,adam,1.584427408592889e-06,320.76598443953156,17.529485439528184,148995.50707779874,382.4219548513419,-4.615991082289567,4.347249040534291,39.363108,2026-01-13T02:36:13,251.66666666666666
24,24,39,256,2,4,0.47793074957794235,32,0.0003410196670499957,2000,adam,2.0804586872789898e-06,319.62967561718045,17.003639848247236,141470.0094815039,367.478049995237,-4.807484875611325,4.202621008308845,43.895605,2026-01-13T02:36:53,278.3333333333333
25,24,39,256,2,4,0.4807541808015915,32,0.0003605772233119906,2000,adam,2.2210775814527875e-06,305.38562351606083,16.53136010553444,131724.36828266966,357.20036784366636,-4.153752503520299,4.493940667002934,44.124205,2026-01-13T02:37:38,278.6666666666667
26,24,40,256,2,4,0.47458498679517,32,0.0004153144438235301,2000,adam,2.4144094656651475e-06,352.3917127936183,19.657671614656284,175498.07131918625,417.6510954379607,-4.9997377306731625,5.707842830365352,51.972685,2026-01-13T02:38:23,315.3333333333333
27,24,37,256,2,4,0.4939769185622672,32,0.00027004641525595817,2000,adam,1.6158803910076845e-06,339.14793504143336,17.93636928240411,161163.76680798872,393.9226780627362,-5.516431287792713,2.7311205634935813,45.22058,2026-01-13T02:39:16,291.0
28,24,52,32,8,1,0.6,128,1e-05,2000,adam,1e-06,710.5165394412417,34.633639843124975,719175.0887560103,790.7255952257168,-33.4574406539568,10.599495195689306,45.409809,2026-01-13T02:40:02,2000.0
29,24,37,256,2,3,0.4757197786159271,32,0.0002994422951918107,2000,adam,1.6488362225989735e-06,391.08730444166196,20.763501640118978,216072.46301057414,456.0938061574386,-7.734241233703109,4.6183703850918025,27.907149,2026-01-13T02:40:48,229.0
30,24,38,256,2,4,0.47909194619819384,32,0.0002922893088259432,2000,adam,1.70168101272522e-06,335.96240642332185,17.875130364742407,161928.3488895141,393.5251563546326,-5.671465808312218,3.5070319062760564,49.1435,2026-01-13T02:41:18,316.6666666666667
31,24,37,256,2,4,0.47707149973686813,32,0.0003093830474720112,2000,adam,1.6537330720580745e-06,317.589236502017,17.204325636895863,144368.7569748544,376.5152553053881,-4.459371217957522,3.3646432726156217,42.127418,2026-01-13T02:42:08,264.6666666666667
32,24,37,256,2,4,0.4733254998454841,32,0.00031648644989831066,2000,adam,1.666413419972662e-06,317.34498870977643,17.086397625720938,141681.20452985165,371.06593035566453,-4.571671558197687,3.46557070191629,40.542599,2026-01-13T02:42:51,262.3333333333333
33,24,38,256,2,4,0.4531460999579225,32,0.0003314729317376931,2000,adam,1.523313393655854e-06,333.49117008604145,17.804189082915215,159132.8107047438,392.08761948267625,-5.347647956075144,2.643780436595725,43.948241,2026-01-13T02:43:32,285.6666666666667
34,24,37,256,2,4,0.4820349533219865,32,0.00031158852913169144,2000,adam,1.704069522204581e-06,292.69499404214343,15.457993339092488,124227.66460104349,345.1254127803556,-4.080286405344073,3.3277828803809504,44.068976,2026-01-13T02:44:18,281.0
35,24,37,256,2,4,0.4879984672136479,32,0.0003156085824529836,2000,adam,1.4567086677345607e-06,313.30467666029836,16.60349140390464,145964.31192485648,371.79708559054546,-5.109208245870921,4.480375755087465,43.757164,2026-01-13T02:45:03,278.0
36,24,37,256,2,4,0.49002539716835025,32,0.0003197342867775177,2000,adam,1.4461213322810416e-06,327.1126940859339,17.770242632362184,157178.07464697803,391.938851777754,-5.055461859744332,3.7416703449529165,43.938134,2026-01-13T02:45:48,271.0
37,24,37,256,2,4,0.4861648350081084,32,0.0003126164336083781,2000,adam,1.5624145012750107e-06,315.649281121779,16.801893011290446,148031.2197665525,378.3679561023105,-4.829317137293755,1.9348471866987584,42.463522,2026-01-13T02:46:33,266.0
38,24,52,32,2,4,0.0,128,1e-05,2000,adam,0.001,538.6646882556051,29.969416172145234,422756.0574711904,613.4745561541581,-15.656091645836591,15.359125270214085,71.605518,2026-01-13T02:47:17,1409.3333333333333
