trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,8,51,256,8,3,0.2040328323841095,64,7.484303813285142e-05,2000,adam,1.8512931226396963e-05,192.68725871042116,11.014291495297563,55972.06481509446,226.16783098830612,-1.759773933422104,2.680294345885678,35.761308,2026-01-11T17:18:08,219.33333333333334
1,8,44,256,2,1,0.2111829947680235,128,0.0002561060545325411,2000,adam,6.447198297718682e-05,303.5126497874104,17.506515841210504,137091.6363136492,345.81536292229947,-4.712658673656061,5.832042641124995,9.96269,2026-01-11T17:18:44,208.0
2,8,52,64,8,4,0.35862464793026444,32,0.0003458812060357056,2000,adam,0.0002748994628313758,213.6842991363163,11.89546978332364,72972.38998809892,253.56086931866355,-2.054658097041075,4.192468395458403,50.702113,2026-01-11T17:18:53,225.66666666666666
3,8,38,256,2,1,0.3942923292517662,32,4.2212776889685445e-05,2000,adam,0.00093856087754182,309.0202435435432,18.171724825776575,160917.46618815223,373.5157553004699,-4.670381711149976,7.3042636959463305,37.611072,2026-01-11T17:19:44,426.6666666666667
4,8,36,32,8,1,0.5091477474197745,64,2.8582765419275997e-05,2000,adam,5.68380286001019e-06,242.07380796814024,14.220317729700954,89543.7247245479,291.6147455911757,-2.8722348289611603,3.969600616701413,30.782079,2026-01-11T17:20:22,615.3333333333334
5,8,52,128,4,1,0.04685203246772289,128,1.2027906564924028e-05,2000,adam,2.416349367325408e-06,259.2019035836759,15.387881688662313,108900.69999909127,321.2260042402849,-3.651214785808571,2.3948354333674415,33.964485,2026-01-11T17:20:53,902.0
6,8,37,256,8,4,0.5241454113274813,64,7.753610025022828e-05,2000,adam,4.829004048170088e-06,194.5253278066724,10.840003062987593,75859.7631168099,252.4741427336013,-1.5602843550172907,4.578618316118907,37.280466,2026-01-11T17:21:27,208.0
7,8,30,128,4,2,0.17352079711854457,64,0.0006393861876987242,2000,adam,8.696052986615484e-05,260.3566213517342,15.066142895395934,96067.67718145942,303.04030067711744,-4.040899811199894,3.3869137033731676,12.400373,2026-01-11T17:22:04,152.0
8,8,50,128,2,3,0.41357248183339834,64,0.0009753788079976552,2000,adam,5.217923854787255e-06,307.8453415156167,17.497101396865276,132236.9761452592,350.40604896010603,-7.078293617321417,5.254785961832385,24.485204,2026-01-11T17:22:16,211.0
9,8,31,256,4,1,0.25995407849550245,64,0.00021085117744890872,2000,adam,0.0003000242738049777,339.03683044063297,19.766597181003764,198242.90549581227,410.8685953622148,-5.719277834464748,6.816392533374193,14.904505,2026-01-11T17:22:41,265.3333333333333
10,8,28,64,8,2,0.43844100181013346,128,3.424573150997643e-05,2000,adam,4.91118172495923e-06,233.1466462509185,13.258150791326146,95395.95307494189,281.4983854346372,-2.221073934932409,6.450361218001496,43.47425,2026-01-11T17:22:56,970.0
11,8,48,256,2,1,0.3125133840367198,128,0.0006773904645072866,2000,adam,0.0001679535225093644,290.97399759450053,17.42386029601452,128325.0297400463,358.1529251394675,-5.994851238116515,1.8318425415104174,11.978315,2026-01-11T17:23:39,242.0
12,8,36,256,4,2,0.055137052573263644,32,0.000592131338066298,2000,adam,0.00013441333084917328,292.4830240405475,16.994846655612065,120948.86104857647,340.3614704024376,-4.281474486769064,2.298695590632546,29.429637,2026-01-11T17:23:51,204.0
13,8,36,32,4,4,0.3467092584818601,128,2.1738491074711153e-05,2000,adam,5.9750014079543665e-05,320.9590934258531,18.863949153950827,143086.60792653597,376.71387872178093,-6.445242185546975,1.654791045460347,12.195865,2026-01-11T17:24:21,164.66666666666666
14,8,27,128,2,2,0.5509626533836126,64,2.177473369292514e-05,2000,adam,6.140539189970046e-05,290.107472622865,17.41748668336956,145723.5032628626,349.1886394260874,-3.81274086667167,8.384459202544317,17.323983,2026-01-11T17:24:33,206.66666666666666
15,8,32,128,2,4,0.5650687979534268,32,1.810650279717967e-05,2000,adam,0.00019679084523631864,334.1898228883634,19.39575506021919,182036.97608163374,424.1647397115583,-8.955172185556892,4.404929345437544,69.728528,2026-01-11T17:24:50,292.0
16,8,44,256,8,4,0.37513421249098017,64,8.632097867346165e-05,2000,adam,9.920143397506908e-06,149.95731353559776,8.57331099540683,37656.53994671675,189.26775248064106,-0.7757242202742657,1.4920324518197823,51.190424,2026-01-11T17:26:00,261.3333333333333
17,8,45,256,8,4,0.3769071641468483,64,0.00010890020013120947,2000,adam,1.3176271887266735e-05,174.9893103880904,9.972565897366552,48066.94925709132,212.76989889868887,-1.2037764696865596,1.1594609207325928,49.372207,2026-01-11T17:26:52,249.0
18,8,43,256,8,4,0.34604512520853914,64,5.9077523502588044e-05,2000,adam,6.493474787392578e-06,171.89128669125523,9.628154068474645,56561.82986533554,209.21021005993347,-0.6955064365001102,5.342070559403656,42.926668,2026-01-11T17:27:42,220.66666666666666
19,8,44,256,8,4,0.38485433217577997,64,7.6150828454598e-05,2000,adam,9.04485652516675e-06,185.67729976768976,10.448811151928446,57517.413627503476,229.61174056640354,-1.5034840897677462,2.1432884234823093,43.841625,2026-01-11T17:28:25,222.33333333333334
20,8,42,256,8,4,0.3186555512159049,64,0.00010900432762500777,2000,adam,9.244713864797048e-06,194.80818121306024,11.342266964366829,61203.79671108652,231.39352797940447,-1.2184184575532517,3.658612036825083,44.029564,2026-01-11T17:29:10,226.66666666666666
21,8,47,256,8,4,0.41991216443245405,64,6.0033596533919686e-05,2000,adam,1.0207388925124652e-05,231.9823814405701,13.032261890703845,93055.68672327901,286.4365746138456,-5.034756864098864,4.778286368513008,33.159318,2026-01-11T17:29:54,161.0
22,8,42,256,8,3,0.3735470900370883,64,8.637666351344e-05,2000,adam,8.398899011573983e-06,176.7690099849881,10.207092997601434,52852.77030792526,221.61242853645186,-1.124150723587632,1.727072880056153,38.319188,2026-01-11T17:30:28,258.3333333333333
23,8,42,128,8,4,0.3666563560506487,64,9.799521797702632e-05,2000,adam,1.0878855858419234e-05,146.0584924921183,8.26065325167275,39447.77461993966,188.1644747986005,-0.46815260277854787,1.8634484059698095,28.899329,2026-01-11T17:31:07,199.66666666666666
24,8,42,128,8,4,0.3529871125900629,64,0.00010258316849773908,2000,adam,1.3149429656091583e-05,141.7132671144415,8.036725381443608,38661.055492031795,185.49787385224553,-0.41299856501232446,2.0055044285807098,33.318135,2026-01-11T17:31:37,232.33333333333334
25,8,42,128,8,4,0.35730825095779145,64,9.560964969212245e-05,2000,adam,1.4639031272287257e-05,146.63029383329493,8.234056079813007,40191.73930340446,187.69816243248957,-0.42940195481918325,2.0803826156551577,36.353887,2026-01-11T17:32:11,254.66666666666666
26,8,41,128,8,4,0.3880276739374615,64,8.700234684960767e-05,2000,adam,1.486031621256464e-05,195.08975169846732,11.014984507765353,56992.83443664346,225.66841506925516,-1.2694027949027897,3.006301017739387,39.847031,2026-01-11T17:32:48,286.6666666666667
27,8,45,128,8,4,0.30909686029744193,64,0.00012450301847727373,2000,adam,8.027379908605568e-06,190.0172440630521,10.554843677039228,76930.02216531808,234.92759906642036,-1.151349156095893,5.866794200197607,38.840014,2026-01-11T17:33:28,262.6666666666667
28,8,42,128,8,4,0.336402443103342,64,9.964001125455713e-05,2000,adam,1.593995456082505e-05,163.2061524715507,9.206166741776533,48590.49409208683,206.36076904743103,-0.7486220902600645,2.8620208635824973,31.072889,2026-01-11T17:34:08,213.0
29,8,52,256,2,4,0.0,128,1e-05,2000,adam,1e-06,266.98102287127193,15.545983223882516,104546.20967441304,309.0676137835904,-3.06315903213745,4.282089525141731,55.706492,2026-01-11T17:34:39,331.6666666666667
