trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,47,128,1,4,0.544910854101181,128,0.0009970631656133413,2000,2.2527897655963898,1421.0577707150933,89.71365157902788,2721158.546975707,1467.453043270588,-204.32889397563147,67.19385677764404,1001.697957,2025-12-17T11:46:01,177.66666666666666
1,12,33,64,2,4,0.5537170147523284,64,6.0551919771986076e-05,2000,2.7147467406466603,1030.239406327322,59.45043530321137,1571023.5367644706,1129.2132835848408,-79.63014155709529,29.46368509443828,1663.173609,2025-12-17T12:02:43,352.3333333333333
2,12,28,128,3,2,0.43012282429262993,32,0.00012423087058477137,2000,1.800959661602974,1655.161679143174,110.49079678304874,3895382.912253509,1692.3292797699257,-361.03334125327575,96.04843578255306,1274.032616,2025-12-17T12:30:26,211.66666666666666
3,12,40,32,1,4,0.1038826041854918,128,1.1322362108984185e-05,2000,0.8142561647109687,1535.373313853669,93.14556991477714,3513269.528056009,1845.0362543673293,-178.0212129529807,21.13617014348326,1283.88485,2025-12-17T12:51:40,374.6666666666667
4,12,43,128,2,4,0.16363934557884932,64,0.0002324410007852662,2000,2.173764786683023,1137.4385642065738,80.14229923108685,1886192.3819685404,1191.5090606847277,-195.5217839839951,69.46922191397542,860.374255,2025-12-17T13:13:04,164.66666666666666
5,12,31,32,4,2,0.3664521727710962,64,1.9125040359128024e-05,2000,0.6414997433312237,1978.62237440395,121.63589688630736,6118000.8018852705,2463.7345395041043,-330.145263897898,41.4925910867868,1123.65911,2025-12-17T13:27:24,257.0
6,12,36,256,1,4,0.4928539813496172,32,0.00039310828438142746,2000,1.5303100920282304,1464.9858781665264,99.39920386367002,2793862.0494680866,1516.6720523948795,-256.27233009281224,73.87376762222104,1535.949498,2025-12-17T13:46:08,188.33333333333334
7,12,51,64,3,2,0.2911398614756763,128,3.5826466139201314e-05,2000,2.4980281684547663,2215.021200115541,145.60754770271555,6573940.854627474,2508.762301827875,-492.6428541218041,77.18409591098748,988.165185,2025-12-17T14:11:44,210.66666666666666
8,12,49,128,1,2,0.5914866806939244,128,0.000242381636713946,2000,2.2272043274715543,883.6112226007335,42.004267511063354,1363252.8220279266,944.107925494514,-15.428711932959525,18.15589015286415,1005.365577,2025-12-17T14:28:12,171.66666666666666
9,12,37,32,3,4,0.2628196574747562,32,2.9360331324892923e-05,2000,0.7125659422017634,1147.6513957094232,55.624587234406526,2451553.3202785132,1345.4495026441,-32.112725428560346,23.251955132750158,2219.205532,2025-12-17T14:44:58,404.0
10,12,30,256,2,2,0.13531915741041303,64,0.00045153396293813304,2000,1.6154902982525527,1720.5810745898718,117.94641407090779,3810509.2585065695,1769.5937251373255,-362.81797093557407,88.54365545110934,765.915988,2025-12-17T15:21:57,106.66666666666667
11,12,46,64,4,4,0.4650848581455648,64,4.9707076400138e-05,2000,2.600830264389515,2357.886427840272,158.79121893381145,7730302.234524141,2714.799562358399,-537.7150036887296,72.50241406073438,623.632869,2025-12-17T15:34:43,135.66666666666666
12,12,41,256,3,4,0.4037555068731308,128,0.0007652261454097486,2000,1.40250811772421,1413.789305518584,106.6792267340107,3146704.3579365495,1548.4517014294654,-313.4248393843342,85.94647070943105,1066.770543,2025-12-17T15:45:06,135.0
13,12,26,64,1,2,0.2005624169483781,32,9.269723373402291e-05,2000,2.9360413243994117,794.1448952496406,37.35768447974714,1156574.939838608,855.15459989881,-13.571543925109543,17.176098715533687,805.985484,2025-12-17T16:02:53,161.66666666666666
14,12,36,128,4,4,0.32305803513154385,32,0.00014293583240777613,2000,2.0484234411269426,756.7308330540812,37.21812982641129,933729.2376983222,794.0361901604477,-13.661806846911972,12.536124702719375,1084.053042,2025-12-17T16:16:19,161.33333333333334
15,12,47,32,2,2,0.527349713165313,64,1.5735579502125907e-05,2000,1.081935083027929,2180.337456307591,137.92985263760127,6947457.110167593,2635.6370630294145,-369.32416608336484,42.50008679102475,1474.399307,2025-12-17T16:34:23,372.0
16,12,35,128,4,4,0.26828274889291925,32,0.0001110745360995445,2000,1.752093133781672,732.116925836171,35.095312210893184,961459.5014696821,779.6782279098869,-13.719676020455056,16.12699966829095,1042.460798,2025-12-17T16:58:58,158.66666666666666
17,12,35,64,3,4,0.28378425733424506,32,0.00011585695595932023,2000,1.8375367475643876,1452.170348727181,96.6254266754381,2541240.4057325083,1525.4834075757317,-201.59499558999755,56.27810125823122,992.567882,2025-12-17T17:16:21,170.33333333333334
18,12,27,64,1,2,0.2826658321948049,32,7.672962720941498e-05,2000,3.0,811.0552601928279,38.70285156561524,1169634.511010489,876.3738491832634,-14.258645174936632,15.981757858900359,854.998169,2025-12-17T17:32:54,169.66666666666666
19,12,46,128,1,2,0.6,128,0.000204457264410289,2000,2.5365938484393515,1460.0309344726663,92.51334464330317,3081405.693992067,1586.0815735689948,-242.0853559423197,66.47680556900657,788.947414,2025-12-17T17:47:10,140.0
20,12,52,128,1,2,0.5972538174872098,128,0.0003104260034201888,2000,1.9628729797637234,803.4563095352245,35.76938509646023,1300346.1573760964,881.592145256901,-12.473447463303387,21.516835729249504,1334.976432,2025-12-17T18:00:20,222.66666666666666
21,12,50,128,1,2,0.5388392696424564,128,0.0002273069457935278,2000,1.8710313085730856,1022.9345936816075,60.73731118099918,1481555.1407871433,1135.8653476501659,-90.6918837896589,32.269423382904385,1280.8433,2025-12-17T18:22:35,214.33333333333334
22,12,52,128,1,2,0.6,128,0.00039563152900941767,2000,2.3409429660127916,1129.8178094007083,60.64818466667884,1835850.5422529948,1219.8303452707082,-29.733494931882266,25.468517899331385,968.34274,2025-12-17T18:43:57,160.33333333333334
23,12,35,128,4,4,0.2734009046135816,32,0.0001507944281371619,2000,1.9015954285806838,741.5844347942137,35.55818758025802,961395.9313887701,799.3770100133585,-14.51725583490574,15.536110153990105,1070.775078,2025-12-17T19:00:06,163.0
24,12,36,128,4,4,0.31888817164744554,32,0.0001012519224649906,2000,1.8667313957481309,754.570394879961,37.144018152641756,949251.3360894275,809.1848285907731,-16.824596251311977,14.940211674037373,1208.628247,2025-12-17T19:17:58,179.66666666666666
25,12,37,64,4,4,0.2230547094544194,32,4.369824985620134e-05,2000,0.9027864456284841,757.7330358336038,36.27172216663559,1079676.4834688331,838.6777356495054,-13.190704353902015,15.107534747304824,1433.447596,2025-12-17T19:38:07,243.66666666666666
26,12,37,128,4,4,0.2400223962231523,32,7.664690919487357e-05,2000,1.2760033778051492,712.2782981652423,33.249655329107206,944673.390982749,783.242651339366,-12.645172178662548,16.07712829738255,1307.450023,2025-12-17T20:02:01,195.66666666666666
27,12,36,64,4,4,0.24821355632546468,32,8.582780962624826e-05,2000,1.361285092044433,707.9012673715424,35.942421842684205,840455.359875521,765.7074617570775,-15.714100402037984,12.69050148361109,1911.633798,2025-12-17T20:23:50,320.3333333333333
28,12,37,128,4,4,0.26868587488173507,32,0.00013111047142912722,2000,1.5763769139476145,822.4661301082101,42.30047439354225,1032801.1424883917,875.8215548371749,-14.531978238810614,11.12028781581797,1390.481842,2025-12-17T20:55:42,208.33333333333334
29,12,34,128,4,4,0.2224495934126448,32,4.124921318277581e-05,2000,1.2922467217449367,714.6986277587495,33.57647685442317,1006589.0502584754,779.0915403745399,-13.379402149678635,17.65112973598423,1299.998725,2025-12-17T21:18:53,199.66666666666666
