trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,49,256,4,2,0.22637823820114136,128,0.0007359096666678943,2000,1.2014334201812744,791.6802053280676,64.06914643546718,829583.7789072423,896.492170379261,-180.47368002526505,15.207303904440527,1410.655344,2025-12-18T19:49:24,152.66666666666666
1,12,33,64,2,4,0.5537170147523284,64,6.0551919771986076e-05,2000,2.7147467406466603,659.1173008178581,53.25446265115337,648105.8566995681,778.1279087950388,-103.27429937328704,20.404895006759876,1340.817789,2025-12-18T20:12:55,279.6666666666667
2,12,28,128,3,2,0.43012282429262993,32,0.00012423087058477137,2000,1.800959661602974,394.384527156459,31.98407177688578,272431.2023215487,484.3837807390978,-38.27321079093171,14.88983908880309,726.144061,2025-12-18T20:35:16,120.33333333333333
3,12,40,32,1,4,0.1038826041854918,128,1.1322362108984185e-05,2000,0.8142561647109687,510.50145110549784,40.82887191592366,375360.62137629045,611.4928432108924,-78.21301886230825,4.030261671425381,1203.515073,2025-12-18T20:47:22,349.6666666666667
4,12,43,128,2,4,0.16363934557884932,64,0.0002324410007852662,2000,2.173764786683023,511.08135633173197,41.21241057469293,358068.55759576056,582.2704189481225,-50.927607481823856,11.728753027768724,696.40796,2025-12-18T21:07:26,131.66666666666666
5,12,31,32,4,2,0.3664521727710962,64,1.9125040359128024e-05,2000,0.6414997433312237,802.6867887393236,65.31298639492866,968382.1591754885,982.526764140006,-245.39290244196658,13.279419018238203,1178.453868,2025-12-18T21:19:02,265.6666666666667
6,12,36,256,1,4,0.4928539813496172,32,0.00039310828438142746,2000,1.5303100920282304,694.8404716734285,56.70894085609453,644972.6445516108,762.3904001631081,-206.55010484942252,21.630947593797263,1315.669022,2025-12-18T21:38:41,159.66666666666666
7,12,51,64,3,2,0.2911398614756763,128,3.5826466139201314e-05,2000,2.4980281684547663,1034.9670630775881,83.98098466212758,1255677.425267428,1117.9397379822556,-313.20197916126847,11.637716807663722,753.275278,2025-12-18T22:00:36,164.66666666666666
8,12,49,128,1,2,0.5914866806939244,128,0.000242381636713946,2000,2.2272043274715543,885.5766442799958,72.08600404757226,1047437.7394597005,1012.9956462367318,-274.7139817254717,14.538532190495157,878.965444,2025-12-18T22:13:09,148.0
9,12,37,32,3,4,0.2628196574747562,32,2.9360331324892923e-05,2000,0.7125659422017634,523.8592570124732,43.23700956221105,485767.321047741,632.3081300736106,-123.61367722460538,21.966402790007287,1793.398419,2025-12-18T22:27:48,308.6666666666667
10,12,30,256,2,2,0.13531915741041303,64,0.00045153396293813304,2000,1.6154902982525527,450.3784536273062,36.94434810444955,351378.08121690125,507.6101938588592,-46.06113232401476,22.466429796761933,999.870384,2025-12-18T22:57:42,137.66666666666666
11,12,46,64,4,4,0.4650848581455648,64,4.9707076400138e-05,2000,2.600830264389515,589.3522923529703,48.10792970211036,616757.8306747867,704.0445340029615,-119.47789223767103,27.839315975668764,1678.069323,2025-12-18T23:14:22,363.3333333333333
12,12,41,256,3,4,0.4037555068731308,128,0.0007652261454097486,2000,1.40250811772421,884.9686723513531,72.39320141034882,950148.0219173775,958.6662554246617,-281.42092748981037,15.56131509385023,1008.195884,2025-12-18T23:42:20,127.0
13,12,26,64,1,2,0.2005624169483781,32,9.269723373402291e-05,2000,2.9360413243994117,353.9381445099977,28.457992680347875,181563.29657197915,402.59206216949286,-25.911746933126782,10.582509284558729,1232.574623,2025-12-18T23:59:08,242.0
