trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,29,128,4,2,0.22637823820114136,128,0.0007359096666678943,2000,1.2014334201812744,1441.6259234125744,122.97373085426732,2251888.667650333,1462.6429201107724,-448.6484166086027,25.66897074329714,518.712703,2026-01-24T08:18:55,131.0
1,4,15,64,2,4,0.5537170147523284,64,6.0551919771986076e-05,2000,2.7147467406466603,637.4611391495184,55.25532590353733,481406.27428111597,687.7167045055976,-80.3265443698865,7.480766633997163,1094.54301,2026-01-24T08:27:34,392.6666666666667
2,4,10,128,3,2,0.43012282429262993,32,0.00012423087058477137,2000,1.800959661602974,742.2532664712289,63.808300015914575,633300.4834120364,779.6630619568892,-112.75951440917554,12.370241970278435,512.378091,2026-01-24T08:45:48,118.33333333333333
3,4,21,32,1,4,0.1038826041854918,128,1.1322362108984185e-05,2000,0.8142561647109687,1038.2454762077293,89.53873864547637,1355871.6545213263,1116.3545900201689,-262.0471928115623,31.45417839554388,2655.168071,2026-01-24T08:54:21,906.6666666666666
4,4,24,64,2,4,0.16363934557884932,64,0.0002324410007852662,2000,2.173764786683023,548.056172914789,47.35875219649058,353044.21908602776,582.4003511811743,-71.00486258232573,10.262682020184519,507.065742,2026-01-24T09:38:36,143.0
5,4,13,32,4,2,0.3664521727710962,64,1.9125040359128024e-05,2000,0.6414997433312237,1460.994986537119,126.0521208425849,2311840.9609277495,1519.0334453764387,-430.4684426892607,9.56424305155356,2777.393208,2026-01-24T09:47:03,1136.6666666666667
6,4,17,128,1,4,0.4928539813496172,32,0.00039310828438142746,2000,1.5303100920282304,1520.6460636152963,130.07457074011253,2371449.6035108804,1539.3884493282465,-439.92592839379813,4.6528950227952,591.225179,2026-01-24T10:33:21,144.33333333333334
7,4,31,64,3,2,0.2911398614756763,128,3.5826466139201314e-05,2000,2.4980281684547663,873.4614836009141,75.96978410582136,979814.6168698501,989.6422968109949,-176.59543800065077,4.371744328243506,1073.608059,2026-01-24T10:43:12,274.0
8,4,30,64,1,2,0.5914866806939244,128,0.000242381636713946,2000,2.2272043274715543,1110.4985633893818,96.57208199022027,1541932.1315471756,1239.4068433407463,-271.60389877193023,7.545272863781845,549.390415,2026-01-24T11:01:05,144.66666666666666
9,4,19,32,3,4,0.2628196574747562,32,2.9360331324892923e-05,2000,0.7125659422017634,212.47622899175903,17.211537044475257,79748.72450439836,280.6160547919032,-12.538559482063528,1.0200250196541845,1143.501388,2026-01-24T11:10:15,264.3333333333333
10,4,12,128,2,2,0.13531915741041303,64,0.00045153396293813304,2000,1.6154902982525527,1478.1473123679632,126.1326773889822,2256717.5405080114,1492.880246718625,-380.9783457976076,15.241578905401244,415.521078,2026-01-24T11:29:18,153.33333333333334
11,4,26,32,4,4,0.4650848581455648,64,4.9707076400138e-05,2000,2.600830264389515,848.5708805201475,73.18863510335605,958267.8982401876,970.6791700636285,-187.77554148594479,11.040715399720927,810.88418,2026-01-24T11:36:14,214.33333333333334
12,4,22,128,3,4,0.4037555068731308,128,0.0007652261454097486,2000,1.40250811772421,1351.969281759357,115.89113829832148,1891891.2835491367,1373.4047610982052,-332.47973575184204,7.259672543262689,344.319107,2026-01-24T11:49:45,106.0
13,4,8,64,1,2,0.2005624169483781,32,9.269723373402291e-05,2000,2.9360413243994117,873.9322139929395,75.02076198175136,808541.5848647039,891.3540737432569,-158.76775723979418,10.482706229874921,847.330838,2026-01-24T11:55:29,201.66666666666666
14,4,17,64,4,4,0.32305803513154385,32,0.00014293583240777613,2000,2.0484234411269426,1459.2230242076514,125.51224298253491,2239244.4893152877,1494.770279607262,-410.3812053173047,8.677989648915595,524.643496,2026-01-24T12:09:36,133.33333333333334
15,4,28,32,2,2,0.527349713165313,64,1.5735579502125907e-05,2000,1.081935083027929,1234.6675643215249,104.72477745350267,1636079.8914582331,1278.9968181543427,-295.9184265299675,2.9207093874970798,2183.861577,2026-01-24T12:18:21,562.0
16,4,21,32,3,4,0.15254641434291705,32,1e-05,2000,0.5,432.2561574058195,35.52352664240113,285931.30399232416,523.322202452123,-57.23128558841591,10.530900334636316,1327.601973,2026-01-24T12:54:49,305.0
17,4,16,32,3,4,0.42633948350276374,32,7.809894496750299e-05,2000,0.5,955.8300527037323,83.21919980486099,1312599.4419774304,990.498898621469,-241.5325750463287,50.897150572961536,940.740611,2026-01-24T13:17:04,257.0
18,4,24,32,4,4,0.2324104295445963,32,2.364137647179204e-05,2000,0.9575263999622379,1432.4844390721294,124.0223180103759,2411296.182243793,1546.3038049967874,-414.8549734843247,17.70642774009088,2400.11903,2026-01-24T13:32:55,524.0
19,4,19,32,3,4,0.22617887724510316,32,5.6778147826750086e-05,2000,1.5459442894195559,198.3276101103061,15.991223566792186,68450.70609294793,259.21022866237746,-10.401629373714089,1.1851425527015664,742.796277,2026-01-24T14:13:04,172.33333333333334
20,4,29,32,3,4,0.24894034594299008,32,1.089077911845116e-05,2000,2.4807986324286238,509.86904716117215,43.694142886239604,447176.1156801798,557.5237340448728,-51.244700714001254,32.38598309889371,2773.787088,2026-01-24T14:25:44,579.0
21,4,11,32,3,4,0.23262070583008396,32,1e-05,2000,1.4882083213796546,329.65423561789277,26.99148384690412,169774.3834549367,371.80456999249856,-32.65777890613159,12.159033181994248,2317.877307,2026-01-24T15:12:11,537.3333333333334
22,4,8,32,3,4,0.22349818186000897,32,0.00025776062050212375,2000,0.5,260.3537184391589,22.771296252384133,104722.67758256756,279.17563871010714,-22.176999594955976,14.014030298594149,1024.789733,2026-01-24T15:50:59,228.0
23,4,18,32,3,4,0.23229638025916316,32,0.001,2000,0.5,855.4688492112549,73.49712013261261,1060907.2191980898,880.6115503448533,-127.3990836901899,46.45582379012599,400.548682,2026-01-24T16:08:16,94.33333333333333
24,4,8,32,3,4,0.21053006653195713,32,5.396796527362563e-05,2000,0.5,193.35474274696526,16.102670892502132,49259.95227162794,221.27942635354324,-8.191114106973728,1.6180770151156756,2326.17644,2026-01-24T16:15:08,568.0
25,4,13,64,3,4,0.22655685242047724,32,4.830580291283643e-05,2000,0.8610458359236155,354.5762104874497,31.32464495016376,181431.28475249346,415.5966128967087,-31.975623182804554,8.371024323846152,692.604141,2026-01-24T16:54:04,172.0
26,4,13,32,3,4,0.22541192700686682,64,4.81607500097733e-05,2000,0.8368147166831243,197.92727650583097,16.424729250500224,51814.617114519955,226.99587922324952,-8.307299975709219,0.13010353703014524,857.859441,2026-01-24T17:05:48,338.6666666666667
27,4,9,32,3,4,0.23792464872400157,32,6.927577562005924e-05,2000,3.0,155.87198239065054,13.144182050583218,31506.64551920178,176.3314190316663,-4.673277374624628,2.1098650106590986,1391.066528,2026-01-24T17:20:22,332.3333333333333
