trial_index,LR,epochs,gradclip,attention_heads,hidden_size,mae,mape,mse,rmse,r2,runtime_s,started_at
0,0.050005,4,0.505,4,68,980.07227,19.523352,960541.6,980.07227,-inf,4.661905,2025-10-24T13:28:22
1,0.04013495128929616,3,0.5650560009479523,1,112,4713.8955,93.9023,2.222081e+07,4713.8955,-inf,3.317557,2025-10-24T13:28:26
2,0.05791282013848425,5,0.4218156407121569,4,29,2968.9404,59.14224,8.814607e+06,2968.9404,-inf,4.184343,2025-10-24T13:28:30
3,0.0784642645281274,3,0.9333033917564899,2,60,1497.044,29.821592,2.2411405e+06,1497.044,-inf,2.850211,2025-10-24T13:28:34
4,0.022799739282475785,4,0.05341681263409555,8,82,1696.1377,33.7876,2.876883e+06,1696.1377,-inf,4.160539,2025-10-24T13:28:37
0,0.050005,4,0.505,4,68,891.421,17.703747,794859.75,891.5491,-3462.4412,4.529082,2025-11-02T15:47:56
1,0.027780897955000404,5,0.02912906441837549,4,51,723.8805,14.37588,524448.75,724.18835,-2284.1797,5.599352,2025-11-02T15:48:00
2,0.06017274004142732,4,0.5263109672721475,1,126,7303.6553,145.05963,5.334353e+07,7303.6655,-232432.67,5.279156,2025-11-02T15:48:06
3,0.0972376523860544,4,0.3440105080138892,8,86,1872.8943,37.196934,3.5079785e+06,1872.9598,-15284.31,4.886548,2025-11-02T15:48:11
4,0.014847018985198811,3,0.8421422123443335,2,11,1395.8167,27.724138,1.9497592e+06,1396.3378,-8494.683,3.157304,2025-11-02T15:48:16
5,1e-05,4,0.6007656097386318,4,32,408.8009,8.1208,167920.34,409.78085,-730.6791,4.183856,2025-11-02T15:48:20
6,1e-05,3,0.01,4,8,1202.4028,23.882753,1.473197e+06,1213.7533,-6418.159,2.540693,2025-11-02T15:48:25
7,1e-05,4,0.5092007908798111,8,45,410.99414,8.160752,172322.03,415.11688,-749.8585,4.57392,2025-11-02T15:48:28
8,0.1,4,0.01,4,39,2955.8381,58.707245,8.737208e+06,2955.877,-38069.625,4.400707,2025-11-02T15:48:33
9,0.0030791752731679782,4,0.8190086412485593,4,61,2431.6743,48.289448,5.940312e+06,2437.2756,-25882.713,4.893498,2025-11-02T15:48:38
10,0.015592091452160903,4,0.35057325391770794,4,37,2432.9111,48.31439,5.9488265e+06,2439.0217,-25919.812,4.383967,2025-11-02T15:48:44
11,0.06528703173145067,4,0.5774229232526544,8,44,4646.131,92.27907,2.1593422e+07,4646.872,-94087.984,4.449508,2025-11-02T15:48:49
12,1e-05,5,0.10136151864585502,4,8,1086.5682,21.582283,1.2137295e+06,1101.694,-5287.5815,3.562662,2025-11-02T15:48:54
13,1e-05,3,0.4602918204034812,1,128,901.5492,17.90481,813083.2,901.71124,-3541.8462,4.206016,2025-11-02T15:48:59
14,0.0313341514662285,4,0.010000088511217713,2,16,2391.4448,47.49567,5.7195705e+06,2391.5623,-24920.875,3.650766,2025-11-02T15:49:04
15,0.025001842836738983,5,0.08910983755142475,8,50,2555.1477,50.747196,6.529195e+06,2555.229,-28448.652,5.680294,2025-11-02T15:49:09
16,1e-05,3,1.0,8,8,2806.7725,55.74752,7.87972e+06,2807.084,-34333.293,2.456668,2025-11-02T15:49:16
17,1e-05,5,0.2026208037921473,4,34,68.34082,1.3582398,4989.3477,70.635315,-20.740076,4.973206,2025-11-02T15:49:19
18,1e-05,4,0.34458857740211196,2,63,988.53394,19.634617,977661.2,988.7675,-4258.9614,4.859946,2025-11-02T15:49:25
19,1e-05,5,0.2774592036472378,1,35,75.36304,1.4959205,8436.903,91.852615,-35.762108,5.081704,2025-11-02T15:49:31
20,0.0294655097870716,5,0.01,2,75,3236.9412,64.28811,1.0489079e+07,3238.6848,-45703.047,5.517413,2025-11-02T15:49:37
21,1e-05,4,0.3497319263500999,4,57,1763.7358,35.031353,3.1638142e+06,1778.7114,-13784.683,4.820822,2025-11-02T15:49:44
22,1e-05,5,0.01,2,33,2214.5571,43.983078,4.9068305e+06,2215.1367,-21379.525,5.011383,2025-11-02T15:49:50
23,0.0005156718191776947,4,0.5626319397563729,1,49,542.75757,10.786061,330891.5,575.2317,-1440.793,4.53477,2025-11-02T15:49:57
24,0.005726325731972247,5,0.609257267796437,1,30,3062.694,60.822643,9.410024e+06,3067.5762,-41001.285,5.100227,2025-11-02T15:50:03
25,0.01260088692844471,5,0.17882055689669524,4,65,4099.9443,81.4281,1.6810516e+07,4100.063,-73247.44,5.344276,2025-11-02T15:50:09
26,4.643439720471574e-05,5,0.36678030991657445,8,34,294.1405,5.8400393,89677.39,299.46182,-389.75116,5.019039,2025-11-02T15:50:15
27,1e-05,4,0.24347934324406037,2,28,666.4564,13.236144,444712.7,666.8678,-1936.746,4.139011,2025-11-02T15:50:22
28,1e-05,4,0.6548413109998144,4,41,112.427246,2.2328997,14215.999,119.230865,-60.94335,4.591182,2025-11-02T15:50:27
29,3.945951425398977e-05,4,0.3734976037343956,1,75,512.6084,10.182375,269995.56,519.61096,-1175.4513,4.588038,2025-11-02T15:50:33
30,1e-05,4,0.6530842606823339,8,75,3119.5376,61.959778,9.734681e+06,3120.045,-42415.91,4.557524,2025-11-02T15:50:39
31,1e-05,5,0.1301031718963407,1,71,596.4022,11.849006,367503.0,606.2203,-1600.3203,5.404463,2025-11-02T15:50:45
32,1e-05,5,0.4067413372488592,2,38,1007.8242,20.018381,1.0173801e+06,1008.65265,-4432.029,5.194259,2025-11-02T15:50:52
33,1e-05,3,0.39885043694333905,1,25,415.03833,8.239933,177941.5,421.83112,-774.34424,3.317257,2025-11-02T15:50:58
34,1e-05,3,0.36287028795122633,4,35,1635.0891,32.475315,2.673783e+06,1635.1707,-11649.471,3.456449,2025-11-02T15:51:03
35,1e-05,5,0.6223083388100229,4,39,787.13745,15.636818,631847.4,794.8883,-2752.1477,5.176184,2025-11-02T15:51:09
36,0.0001505017512942496,4,0.29034337998039744,1,51,216.51062,4.300715,49140.42,221.67639,-213.11949,4.688263,2025-11-02T15:51:15
37,1e-05,3,0.6531145643264267,8,39,821.4375,16.31555,675010.94,821.5905,-2940.224,3.640778,2025-11-02T15:51:21
38,1e-05,5,0.2136799840020182,8,26,5185.557,102.99237,2.6890664e+07,5185.621,-117169.65,4.854478,2025-11-02T15:51:26
39,0.04537518433355489,4,0.4977208802845037,8,33,2279.0615,45.26588,5.197262e+06,2279.7505,-22645.021,4.353702,2025-11-02T15:51:32
40,1e-05,5,0.5493408376726491,1,8,3132.499,62.216072,9.812869e+06,3132.5498,-42756.598,3.591196,2025-11-02T15:51:38
41,7.577154248879976e-05,5,0.44217031480776436,8,26,4204.6885,83.51112,1.7679984e+07,4204.7573,-77035.97,5.010136,2025-11-02T15:51:43
42,1e-05,3,0.01,1,56,5043.625,100.171486,2.5440534e+07,5043.861,-110851.0,3.973868,2025-11-02T15:51:50
43,1e-05,4,0.29723936241617605,4,33,2485.1143,49.358414,6.176581e+06,2485.2727,-26912.207,4.247896,2025-11-02T15:51:55
44,1e-05,3,0.6424678985666744,4,31,964.0414,19.145008,931579.56,965.1837,-4058.1702,3.613669,2025-11-02T15:52:01
45,0.00016514277677020817,4,0.3144028693237968,1,38,914.89014,18.174244,845524.25,919.5239,-3683.2014,4.350309,2025-11-02T15:52:06
46,1e-05,4,0.5183896119079979,1,27,3122.172,62.010647,9.74821e+06,3122.2124,-42474.86,4.225568,2025-11-02T15:52:11
47,0.0004425208002033633,4,0.2590381026186063,1,42,850.8932,16.897566,725662.7,851.8584,-3160.929,4.236981,2025-11-02T15:52:17
48,1e-05,5,0.6819823681755321,4,43,231.80896,4.602331,54809.96,234.11528,-237.82336,5.307532,2025-11-02T15:52:23
49,1e-05,5,0.3128490991392947,8,38,355.443,7.0620446,131753.56,362.97873,-573.0896,5.16785,2025-11-02T15:52:30
0,0.050005,4,0.505,4,68,2894.1045,32.246758,2.5131002e+07,5013.083,-0.37562132,4.547238,2025-11-02T16:02:13
1,0.027780897955000404,5,0.02912906441837549,4,51,2887.9163,33.09032,2.467989e+07,4967.8857,-0.3509283,5.608639,2025-11-02T16:02:18
2,0.06017274004142732,4,0.5263109672721475,1,126,3800.144,54.7453,3.2712778e+07,5719.509,-0.7906326,5.472877,2025-11-02T16:02:23
3,0.0972376523860544,4,0.3440105080138892,8,86,3473.3992,45.368813,3.033256e+07,5507.5005,-0.66034424,4.852673,2025-11-02T16:02:29
4,0.014847018985198811,3,0.8421422123443335,2,11,3103.45,34.64429,2.7835182e+07,5275.906,-0.5236428,3.154973,2025-11-02T16:02:34
5,0.015301341625460447,3,0.6150194876943462,4,32,4157.988,65.00831,3.5565324e+07,5963.667,-0.94677544,3.382078,2025-11-02T16:02:37
6,0.04680851967770506,5,0.39256581431686854,4,68,3372.3052,68.3382,1.8635016e+07,4316.8296,-0.02004385,5.474114,2025-11-02T16:02:41
7,0.08148929191898244,4,0.523993500330858,4,39,3510.6396,84.71008,1.7225866e+07,4150.406,0.057090223,4.517272,2025-11-02T16:02:48
8,0.049159643683394635,4,0.5533178587352373,8,74,2908.3877,31.33955,2.5765604e+07,5075.983,-0.41035807,4.752611,2025-11-02T16:02:53
9,0.019208461970541157,4,0.5241593682491301,2,75,3046.324,33.124516,2.7536076e+07,5247.483,-0.5072702,4.794077,2025-11-02T16:02:59
10,1e-05,5,0.01,4,40,2891.391,40.176235,2.2013264e+07,4691.8296,-0.20496249,5.292641,2025-11-02T16:03:04
11,0.08173491590268489,3,1.0,1,8,3170.5286,36.667286,2.8303092e+07,5320.065,-0.54925513,2.547133,2025-11-02T16:03:10
12,0.1,4,0.9571285652849472,2,71,3519.5261,75.788086,1.8340886e+07,4282.626,-0.003943801,4.605348,2025-11-02T16:03:14
13,1e-05,4,0.4418580925453675,8,72,3201.309,37.5077,2.8461786e+07,5334.959,-0.5579418,4.684014,2025-11-02T16:03:19
14,0.1,4,0.5077874760213439,1,73,2881.4844,39.72992,2.2064414e+07,4697.2773,-0.20776236,4.734342,2025-11-02T16:03:25
15,1e-05,3,0.9564515751249019,8,8,3712.108,85.384476,1.8257004e+07,4272.822,0.0006477833,2.730812,2025-11-02T16:03:30
